time,temperature,weatherCode,precipitationProb
2024-05-17,22.5,"Rain, Partially cloudy",100.0
2024-05-18,25.0,"Rain, Partially cloudy",73.0
2024-05-19,27.3,"Rain, Partially cloudy",48.0
2024-05-20,27.0,Partially cloudy,36.0
2024-05-21,28.3,Clear,5.0
2024-05-22,30.0,Partially cloudy,8.0
2024-05-23,29.2,Partially cloudy,31.0
2024-05-24,29.2,Partially cloudy,39.0
2024-05-25,28.0,Partially cloudy,37.0
2024-05-26,30.0,"Rain, Partially cloudy",45.2
2024-05-27,31.8,"Rain, Partially cloudy",51.6
2024-05-28,30.8,Partially cloudy,41.9
2024-05-29,27.2,Partially cloudy,35.5
2024-05-30,28.1,Partially cloudy,29.0
2024-05-31,28.4,Partially cloudy,25.8
