Time of Scrape, Flight Zoning, MC, NC, LNC, SPOC, INTLC, Temperature, PoP, Month, Day of Week, Holiday
0.5669,0.5249,0.1951,0.1765,0.0323,0.3448,0.125,0.8098,0.0,0.5,0.5714,0.0
0.569,0.5317,0.122,0.2353,0.0645,0.3448,0.1667,0.8109,0.0,0.5,0.5714,0.0
0.5711,0.5467,0.122,0.2353,0.0323,0.3448,0.1667,0.8294,0.0,0.5,0.5714,0.0
0.5732,0.5527,0.1463,0.2059,0.0645,0.4138,0.1667,0.8339,0.0,0.5,0.5714,0.0
0.5754,0.557,0.1463,0.2059,0.1613,0.3448,0.1667,0.8373,0.0,0.5,0.5714,0.0
0.5945,0.5724,0.122,0.1765,0.0323,0.3448,0.1667,0.8432,0.0,0.5,0.5714,0.0
0.5966,0.5645,0.1463,0.1471,0.2903,0.3448,0.2083,0.8465,0.0,0.5,0.5714,0.0
0.5987,0.5637,0.1463,0.1471,0.0968,0.3793,0.125,0.8465,0.0,0.5,0.5714,0.0
0.6008,0.561,0.122,0.1765,0.0323,0.3448,0.1667,0.8443,0.0,0.5,0.5714,0.0
0.603,0.5622,0.122,0.1471,0.1935,0.3448,0.1667,0.8432,0.0,0.5,0.5714,0.0
0.6051,0.5657,0.122,0.1176,0.0968,0.4483,0.1667,0.8432,0.0,0.5,0.5714,0.0
0.6072,0.5756,0.122,0.0882,0.0323,0.4828,0.125,0.8408,0.0,0.5,0.5714,0.0
0.6093,0.5792,0.1707,0.0588,0.0323,0.4138,0.125,0.8408,0.0,0.5,0.5714,0.0
0.6115,0.5914,0.1707,0.0588,0.1613,0.3793,0.1667,0.8386,0.0,0.5,0.5714,0.0
0.6136,0.6081,0.1463,0.1765,0.0323,0.2759,0.25,0.8373,0.0,0.5,0.5714,0.0
0.6157,0.6302,0.1463,0.1471,0.0645,0.2759,0.3333,0.8386,0.0,0.5,0.5714,0.0
0.6178,0.6532,0.1463,0.1471,0.0645,0.2069,0.3333,0.8408,0.0,0.5,0.5714,0.0
0.6369,0.6627,0.1707,0.1471,0.0323,0.1034,0.4583,0.8432,0.0,0.5,0.5714,0.0
0.6391,0.6679,0.1951,0.1176,0.0,0.1034,0.5417,0.8443,0.0,0.5,0.5714,0.0
0.6412,0.673,0.1951,0.0882,0.0323,0.1034,0.4583,0.8443,0.0,0.5,0.5714,0.0
0.6433,0.677,0.1951,0.0588,0.0645,0.1379,0.4583,0.8432,0.0,0.5,0.5714,0.0
0.6454,0.6833,0.1463,0.0588,0.0645,0.1034,0.5417,0.8408,0.0,0.5,0.5714,0.0
0.6476,0.6841,0.1707,0.0588,0.0645,0.1034,0.5417,0.8386,0.0,0.5,0.5714,0.0
