Date, Month, Day Of Week, Departure Time, Arrival Time, Flight Info, Destination, Airline Info, Holiday
2024-05-10,5,5,0:10,1:30,AC 7225,Dallas,Air Canada, 0
2024-05-10,5,5,0:13,0:10,FX 1380,Memphis,FedEx, 0
2024-05-10,5,5,0:30,2:12,GB 110,Cincinnati,ABX Air, 0
2024-05-10,5,5,0:34,0:30,FX 1350,Memphis,FedEx, 0
2024-05-10,5,5,3:45,5:19,ATN 3317,Cincinnati,Air Transport International, 0
2024-05-10,5,5,4:15,5:35,KE 255,Dallas,Korean Air, 0
2024-05-10,5,5,5:00,6:17,AA 2523,Charlotte,American Airlines, 0
2024-05-10,5,5,5:25,7:20,F9 17,Bay,Frontier Airlines Montego, 0
2024-05-10,5,5,5:26,7:20,NK 403,Lauderdale,Spirit Airlines Fort, 0
2024-05-10,5,5,5:33,7:29,AA 1151,Miami,American Airlines, 0
2024-05-10,5,5,5:40,7:32,CM 2124,Dulles,Copa Airlines, 0
2024-05-10,5,5,5:40,7:32,CM 2124,Dulles,Copa Airlines, 0
2024-05-10,5,5,5:40,7:32,CM 2124,Dulles,Copa Airlines, 0
2024-05-10,5,5,5:40,7:32,CM 2124,Dulles,Copa Airlines, 0
2024-05-10,5,5,5:40,7:32,CM 2124,Dulles,Copa Airlines, 0
2024-05-10,5,5,5:40,7:32,CM 2124,Dulles,Copa Airlines, 0
2024-05-10,5,5,5:40,7:32,CM 2124,Dulles,Copa Airlines, 0
2024-05-10,5,5,5:40,7:32,CM 2124,Dulles,Copa Airlines, 0
2024-05-10,5,5,5:40,7:32,CM 2124,Dulles,Copa Airlines, 0
2024-05-10,5,5,5:40,7:32,CM 2124,Dulles,Copa Airlines, 0
2024-05-10,5,5,5:40,7:32,CM 2124,Dulles,Copa Airlines, 0
2024-05-10,5,5,5:40,7:32,CM 2124,Dulles,Copa Airlines, 0
2024-05-10,5,5,5:40,7:32,CM 2124,Dulles,Copa Airlines, 0
2024-05-10,5,5,5:40,7:32,CM 2124,Dulles,Copa Airlines, 0
2024-05-10,5,5,5:40,7:32,CM 2124,Dulles,Copa Airlines, 0
2024-05-10,5,5,5:40,7:32,CM 2124,Dulles,Copa Airlines, 0
2024-05-10,5,5,5:40,7:32,CM 2124,Dulles,Copa Airlines, 0
2024-05-10,5,5,5:40,7:32,CM 2124,Dulles,Copa Airlines, 0
2024-05-10,5,5,5:40,7:32,CM 2124,Dulles,Copa Airlines, 0
2024-05-10,5,5,5:40,7:32,CM 2124,Dulles,Copa Airlines, 0
2024-05-10,5,5,5:40,7:32,CM 2124,Dulles,Copa Airlines, 0
2024-05-10,5,5,5:40,7:32,CM 2124,Dulles,Copa Airlines, 0
2024-05-10,5,5,5:40,7:32,CM 2124,Dulles,Copa Airlines, 0
2024-05-10,5,5,5:40,7:32,CM 2124,Dulles,Copa Airlines, 0
2024-05-10,5,5,5:40,7:32,CM 2124,Dulles,Copa Airlines, 0
2024-05-10,5,5,5:40,7:32,CM 2124,Dulles,Copa Airlines, 0
2024-05-10,5,5,5:40,7:32,CM 2124,Dulles,Copa Airlines, 0
2024-05-10,5,5,5:40,7:32,CM 2124,Dulles,Copa Airlines, 0
2024-05-10,5,5,5:40,7:32,CM 2124,Dulles,Copa Airlines, 0
2024-05-10,5,5,5:40,7:32,CM 2124,Dulles,Copa Airlines, 0
2024-05-10,5,5,5:40,7:32,CM 2124,Dulles,Copa Airlines, 0
