Date, Time of Scrape, Flight Zoning, MC, NC, LNC, SPOC, Weather, Month, Day of Week, Domestic Terminal Traffic, International Terminal Traffic, Holiday
2024-06-01,16:30,1548,18,14,22,8,79.93 | 1001 | 0,6,6,46 | 259,46 | 259,0
2024-06-01,16:35,1588,16,14,16,9,79.93 | 1001 | 0,6,6,46 | 259,46 | 259,0
2024-06-01,16:40,1615,15,13,19,9,79.03 | 1001 | 0,6,6,46 | 259,46 | 259,0
2024-06-01,16:45,1603,16,12,17,7,78.8 | 1001 | 0,6,6,46 | 259,46 | 259,0
2024-06-01,16:50,1586,14,10,12,7,78.8 | 1001 | 0,6,6,46 | 259,46 | 259,0
2024-06-01,16:55,1573,11,10,12,7,78.58 | 1001 | 0,6,6,46 | 259,46 | 259,0
2024-06-01,17:00,1570,11,9,8,5,78.58 | 1001 | 0,6,6,46 | 259,46 | 259,0
2024-06-01,17:05,1557,9,7,4,5,78.58 | 1001 | 0,6,6,45 | 265,45 | 265,0
2024-06-01,17:10,1554,11,7,1,6,78.58 | 1001 | 0,6,6,42 | 283,42 | 283,0
2024-06-01,17:15,1540,9,10,1,4,78.46 | 1001 | 0,6,6,46 | 259,46 | 259,0
2024-06-01,17:20,1560,8,12,1,3,78.46 | 1001 | 0,6,6,42 | 283,42 | 283,0
2024-06-01,17:25,1562,9,11,2,3,78.46 | 1001 | 0,6,6,44 | 271,44 | 271,0
2024-06-01,17:30,1555,13,10,5,2,77.68 | 1001 | 0,6,6,43 | 277,43 | 277,0
2024-06-01,17:35,1545,14,8,3,2,77.56 | 1001 | 0,6,6,46 | 259,46 | 259,0
2024-06-01,17:40,1527,13,7,4,1,77.56 | 1001 | 0,6,6,46 | 259,46 | 259,0
2024-06-01,17:45,1519,10,8,8,2,77.56 | 1001 | 0,6,6,46 | 259,46 | 259,0
2024-06-01,17:50,1521,7,11,7,2,77.56 | 1001 | 0,6,6,46 | 259,46 | 259,0
2024-06-01,18:05,1574,10,8,4,1,77.34 | 1001 | 0,6,6,46 | 259,46 | 259,0
2024-06-01,18:10,1588,10,6,9,1,77.34 | 1001 | 0,6,6,46 | 259,46 | 259,0
2024-06-01,18:15,1586,11,6,5,1,77.34 | 1001 | 0,6,6,46 | 259,46 | 259,0
2024-06-01,18:20,1597,12,6,2,1,77.34 | 1001 | 0,6,6,46 | 259,46 | 259,0
2024-06-01,18:25,1570,12,6,1,1,77.56 | 1001 | 0,6,6,46 | 259,46 | 259,0
2024-06-01,18:30,1576,11,5,6,1,77.56 | 1001 | 0,6,6,46 | 259,46 | 259,0
2024-06-01,18:35,1565,9,6,5,2,77.22 | 1001 | 0,6,6,46 | 259,46 | 259,0
2024-06-01,18:40,1547,7,7,2,2,77.22 | 1001 | 0,6,6,44 | 271,44 | 271,0
2024-06-01,18:45,1557,6,7,2,2,77.22 | 1001 | 0,6,6,46 | 259,46 | 259,0
2024-06-01,18:50,1613,6,6,1,2,77.22 | 1001 | 0,6,6,46 | 259,46 | 259,0
2024-06-01,18:55,1648,7,3,1,2,77.22 | 1001 | 0,6,6,46 | 259,46 | 259,0
2024-06-01,19:00,1675,4,3,5,2,77.22 | 1001 | 0,6,6,45 | 265,45 | 265,0
2024-06-01,19:05,1695,6,3,1,2,77.22 | 1001 | 0,6,6,46 | 259,46 | 259,0
2024-06-01,19:10,1701,5,2,2,3,77.22 | 1001 | 0,6,6,46 | 259,46 | 259,0
2024-06-01,19:15,1706,2,4,1,2,77 | 1001 | 0,6,6,46 | 259,46 | 259,0
2024-06-01,19:20,1699,4,2,5,2,76.78 | 1001 | 0,6,6,46 | 259,46 | 259,0
2024-06-01,19:25,1706,2,1,3,2,76.78 | 1001 | 0,6,6,46 | 259,46 | 259,0
2024-06-01,19:30,1717,2,4,1,3,76.78 | 1001 | 0,6,6,46 | 259,46 | 259,0
2024-06-01,19:35,1690,4,2,1,2,76.44 | 1102 | 0,6,6,46 | 259,46 | 259,0
2024-06-01,19:40,1739,3,1,2,2,76.33 | 1102 | 0,6,6,46 | 259,46 | 259,0
2024-06-01,19:45,1751,7,5,1,2,76.33 | 1101 | 0,6,6,46 | 259,46 | 259,0
2024-06-01,19:50,1798,10,2,8,2,74.97 | 1001 | 0,6,6,46 | 259,46 | 259,0
2024-06-01,19:55,1853,9,3,4,2,74.86 | 1001 | 0,6,6,46 | 259,46 | 259,0
2024-06-01,20:00,1892,11,4,1,2,74.86 | 1001 | 0,6,6,46 | 259,46 | 259,0
2024-06-01,20:05,1879,12,6,1,1,74.86 | 1001 | 0,6,6,46 | 259,46 | 259,0
2024-06-01,20:10,1869,10,4,2,1,74.86 | 1001 | 0,6,6,46 | 259,46 | 259,0
2024-06-01,20:15,1860,8,5,3,1,74.64 | 1001 | 0,6,6,46 | 259,46 | 259,0
2024-06-01,20:20,1852,9,5,4,1,74.3 | 1001 | 0,6,6,46 | 259,46 | 259,0
2024-06-01,20:25,1839,11,3,9,1,74.08 | 1001 | 0,6,6,46 | 259,46 | 259,0
2024-06-01,20:30,1823,12,3,2,2,73.96 | 1001 | 0,6,6,46 | 259,46 | 259,0
2024-06-01,20:35,1808,12,5,1,2,72.84 | 1001 | 0,6,6,46 | 259,46 | 259,0
2024-06-01,20:40,1796,5,6,2,2,72.72 | 1001 | 0,6,6,46 | 259,46 | 259,0
2024-06-01,20:45,1767,3,4,1,2,72.5 | 1001 | 0,6,6,46 | 259,46 | 259,0
2024-06-01,20:50,1652,7,2,1,2,72.28 | 1102 | 0,6,6,46 | 259,46 | 259,0
2024-06-01,20:55,1628,5,1,2,2,72.16 | 1102 | 0,6,6,46 | 259,46 | 259,0
2024-06-04,19:45,0,3,1,8,2,82.4 | 1000 | 0,6,2,46 | 259,46 | 259,0
2024-06-04,19:50,0,2,3,4,1,82.4 | 1000 | 0,6,2,46 | 259,46 | 259,0
2024-06-04,20:05,2190,3,1,0,2,82.18 | 1000 | 0,6,2,46 | 259,46 | 259,0
2024-06-04,20:10,2175,3,2,0,2,81.84 | 1000 | 0,6,2,46 | 259,46 | 259,0
2024-06-04,20:15,2163,4,1,2,2,81.72 | 1000 | 0,6,2,46 | 259,46 | 259,0
2024-06-04,20:20,2136,4,1,0,1,81.5 | 1000 | 0,6,2,46 | 259,46 | 259,0
2024-06-04,20:25,2131,2,1,7,1,81.16 | 1000 | 0,6,2,46 | 259,46 | 259,0
2024-06-04,20:30,2094,4,2,3,1,80.26 | 1001 | 0,6,2,46 | 259,46 | 259,0
2024-06-04,20:35,2076,8,2,1,2,80.26 | 1001 | 0,6,2,46 | 259,46 | 259,0
2024-06-04,20:40,2064,5,1,1,2,79.7 | 1102 | 0,6,2,46 | 259,46 | 259,0
2024-06-04,20:45,2018,2,1,1,2,79.47 | 1102 | 0,6,2,46 | 259,46 | 259,0
2024-06-04,20:50,1929,3,1,3,1,79.36 | 1101 | 0,6,2,46 | 259,46 | 259,0
2024-06-04,20:55,1869,3,1,1,1,79.03 | 1101 | 0,6,2,46 | 259,46 | 259,0
2024-06-04,21:00,0,3,1,1,1,78.8 | 1101 | 0,6,2,46 | 259,46 | 259,0
2024-06-04,22:05,1534,5,3,0,0,75.88 | 1100 | 0,6,2,46 | 259,46 | 259,0
2024-06-04,22:10,1534,1,2,0,0,75.76 | 1100 | 0,6,2,46 | 259,46 | 259,0
2024-06-04,22:15,1524,1,1,0,0,75.76 | 1000 | 0,6,2,46 | 259,46 | 259,0
2024-06-04,22:20,1523,2,1,0,0,75.54 | 1000 | 0,6,2,46 | 259,46 | 259,0
2024-06-04,22:25,1505,3,1,0,0,75.54 | 1000 | 0,6,2,46 | 259,46 | 259,0
2024-06-04,22:30,1476,1,2,0,0,75.43 | 1000 | 0,6,2,46 | 259,46 | 259,0
2024-06-04,22:35,1428,2,2,0,0,75.2 | 1000 | 0,6,2,46 | 259,46 | 259,0
2024-06-04,22:40,1387,3,1,0,0,75.2 | 1000 | 0,6,2,46 | 259,46 | 259,0
2024-06-04,22:45,1360,1,1,0,0,74.97 | 1000 | 0,6,2,46 | 259,46 | 259,0
2024-06-04,22:50,1314,0,1,0,0,74.86 | 1000 | 0,6,2,46 | 259,46 | 259,0
2024-06-04,22:55,1262,1,1,0,0,74.86 | 1000 | 0,6,2,46 | 259,46 | 259,0
2024-06-04,23:00,1218,2,2,0,0,74.64 | 1100 | 0,6,2,46 | 259,46 | 259,0
