Date, Time of Scrape, Flight Zoning, MC, NC, LNC, SPOC, INTLC, Weather, Month, Day of Week, Holiday
2024-06-06,13:30,1306,6,7,2,11,4,79.03 | 1001 | 0,6,4,0
2024-06-06,13:35,1326,8,6,1,10,3,79.36 | 1001 | 0,6,4,0
2024-06-06,13:40,1343,5,8,2,10,4,79.47 | 1001 | 0,6,4,0
2024-06-06,13:45,1381,5,8,1,10,4,81.28 | 1001 | 0,6,4,0
2024-06-06,13:50,1396,6,7,2,12,4,81.72 | 1001 | 0,6,4,0
2024-06-06,13:55,1407,6,7,5,10,4,82.06 | 1001 | 0,6,4,0
2024-06-06,14:00,1446,5,6,1,10,4,82.63 | 1001 | 0,6,4,0
2024-06-06,14:05,1426,6,5,9,10,5,82.96 | 1001 | 0,6,4,0
2024-06-06,14:10,1424,6,5,3,11,3,82.96 | 1001 | 0,6,4,0
2024-06-06,14:15,1417,5,6,1,10,4,82.74 | 1001 | 0,6,4,0
2024-06-06,14:20,1420,5,5,6,10,4,82.63 | 1001 | 0,6,4,0
2024-06-06,14:25,1429,5,4,3,13,4,82.63 | 1001 | 0,6,4,0
2024-06-06,14:30,1454,5,3,1,14,3,82.4 | 1001 | 0,6,4,0
2024-06-06,14:35,1463,7,2,1,12,3,82.4 | 1001 | 0,6,4,0
2024-06-06,14:40,1494,7,2,5,11,4,82.18 | 1001 | 0,6,4,0
2024-06-06,14:45,1536,6,6,1,8,6,82.06 | 1001 | 0,6,4,0
2024-06-06,14:50,1592,6,5,2,8,8,82.18 | 1001 | 0,6,4,0
2024-06-06,14:55,1650,6,5,2,6,8,82.4 | 1001 | 0,6,4,0
2024-06-06,15:00,1674,7,5,1,3,11,82.63 | 1001 | 0,6,4,0
2024-06-06,15:05,1687,8,4,0,3,13,82.74 | 1001 | 0,6,4,0
2024-06-06,15:10,1700,8,3,1,3,11,82.74 | 1001 | 0,6,4,0
2024-06-06,15:15,1710,8,2,2,4,11,82.63 | 1001 | 0,6,4,0
2024-06-06,15:20,1726,6,2,2,3,13,82.4 | 1001 | 0,6,4,0
2024-06-06,15:25,1728,7,2,2,3,13,82.18 | 1001 | 0,6,4,0
2024-06-06,15:30,1735,6,2,3,4,13,82.06 | 1001 | 0,6,4,0
2024-06-06,15:35,1742,3,2,1,5,13,82.06 | 1001 | 0,6,4,0
2024-06-06,15:40,1747,3,2,9,5,12,81.84 | 1001 | 0,6,4,0
2024-06-06,15:45,1734,2,3,5,5,11,81.72 | 1001 | 0,6,4,0
2024-06-06,15:50,1738,3,3,4,5,14,81.5 | 1001 | 0,6,4,0
2024-06-06,15:55,1730,4,3,4,6,15,81.5 | 1001 | 0,6,4,0
2024-06-06,16:00,1734,3,2,5,7,12,81.28 | 1001 | 0,6,4,0
2024-06-06,16:05,1716,3,2,3,7,11,81.16 | 1001 | 0,6,4,0
2024-06-06,16:10,1709,2,3,3,8,14,81.5 | 1001 | 0,6,4,0
2024-06-06,16:15,1707,2,2,2,9,16,81.72 | 1001 | 0,6,4,0
2024-06-06,16:20,1710,2,2,4,9,16,81.84 | 1001 | 0,6,4,0
2024-06-06,16:25,1712,2,1,2,11,19,82.18 | 1001 | 0,6,4,0
2024-06-06,16:30,1715,4,1,1,11,21,82.4 | 1102 | 0,6,4,0
2024-06-06,16:35,1774,6,1,1,9,21,84.88 | 1101 | 0,6,4,0
2024-06-06,16:40,1808,6,1,1,8,17,84.88 | 1101 | 0,6,4,0
2024-06-06,16:45,1807,8,4,1,8,14,85.1 | 1101 | 0,6,4,0
2024-06-06,16:50,1799,8,3,1,7,13,85.1 | 1102 | 0,6,4,0
2024-06-06,16:55,1797,6,4,1,8,13,85.33 | 1102 | 0,6,4,0
2024-06-06,17:00,1833,7,4,1,6,11,85.33 | 1102 | 0,6,4,0
2024-06-06,17:05,1829,10,4,0,5,9,85.44 | 1102 | 0,6,4,0
